,TIEU DE,DETECT
1,Th? tr??ng ch?ng khoán '??i màu',1
2,Nh?t ti?n ??c v? n??c b?ng cú t?t bóng gây tranh cãi ? c?p ?? milimet,1
3,Các ki?u ng??i cá ngày nay,1
4,D? ?oán tr?n Nh?t B?n - Tây Ban Nha t?i b?ng E ??y 'b?t ?n',1
5,Khung thành SV? 'M? Mi?u' mong manh d? v?,1
6,S?p ??t c?a trên ???c nhân viên ti?p s?c,1
7,D? ?oán b?ng C: V? ?i?u tango h? ??i bàng tr?ng?,1
8,Tu?i Tr? C??i s? ra 1-12-2022: Ng??i Cá - Cá Ng??i,1
9,Bác t? tr??ng t? dân ph? s?p ???c... ngh? h?u,1
10,FIFA hãy tr? l?i bàn th?ng cho Ronaldo!,1
11,Hàn Qu?c r??t ?u?i t? s? ngh?t th? v?i Ghana,1
12,Soi kèo ch? nhà Qatar và 'c?n l?c màu da cam',1
13,Nh?t B?n - Costa Rica: Samurai... '?ai' trong tích t?c,1
14,Tr?n chung k?t s?m li?u có lo?i b?t m?t ?ng viên vô ??ch?,1
15,World Cup 2022: ?ã thua còn ?n v?,1
16,"??i bàng tr?ng' Ba Lan l??i tr?ng tinh, ??ng ??u b?ng C",1
17,Qatar ?o?t vé s?m vào vòng 1/8?,1
18,Ch?ng làm ??n xin xem 64 tr?n World Cup 2022,1
19,B? l?i dính COVID h? m??,1
20,H?u tr??ng khuy?n mãi ngày Black Friday,1
21,Tuy?n Saudi Arabia ???c th??ng hàng ch?c siêu xe Rolls Royce?,1
22,L?i thêm m?t lu?n án... ti?n s? c?u lông,1
23,Tuy?n Uruguay: ?en thôi ?? quên ?i!,1
24,"Ham l?i, nhi?u ngh? s? 'm?c' ?? th? b?nh t?t hi?m nghèo",1
25,Danh sách siêu sao xin l?i dân cá ?? ngày m?t dài,1
26,??o hoang Robinson b? quá t?i sau tr?n ??c thua Nh?t,1
27,"Trái ??t 8 t? ng??i, ch? quán bún bò ch?ng coi khách ra gì",1
28,Messi xin l?i dân cá ?? bóng ?á,1
29,H?u qu? khi Messi ghi bàn nh?ng Argentina không th? giành chi?n th?ng,1
30,Chàng thanh niên Messi ?ã ch? ??i 17 n?m r?i ?ó!,1
31,Có ai s? mascot World Cup 2022 nh? v? tôi không?,1
32,Tôi ?i s?n sale ngày Black Friday,1
33,Tình yêu lung lay vì World Cup,1
34,"Lý Toét, Xã X? 'quay xe' ? Qatar vì h?ng có bia",1
35,"20-11, chúc th?y cô s?ng ???c... b?ng l??ng",1
36,N?i bu?n c?a ??i tuy?n Ý và ch? em mê bóng ?á,1
37,"World Cup ch?a khai m?c, ông ch?ng ?ã phát ?iên",1
38,Giáo viên ngày nay ph?i 'cõng' ?? th?,1
39,Combo 'tri ân' khách hàng hút h?m c?u,1
40,Cô giáo c?ng ph?i ?i h?c nâng cao,1
41,"Cây x?ng' g?i v?n, các shark ch?y m?t dép",1
42,Lý Toét bán r??u nh? gi?t cho Xã X?,1
43,Trái ??t quá s? hãi v?... 8 t? ng??i,1
44,Khu ?ô th? 'xanh c?',1
45,"Theo chân Twitter, Facebook sa th?i hàng ngàn nhân viên",1
46,Hôm nay Trái ??t ??t 8 t? ng??i r?i ?ó!,1
47,??c l? Tu?i Tr? C??i s? ra ngày 15-11-2022,1
48,"Bi?n s? xe '49 ch?a qua, 53 ?ã t?i'",1
49,Chuy?n tình' ngh? s? và hoa s?a: T? n?ng nàn thành n?ng n?c,1
50,"B? GD-?T 'th?ng g?p' IELTS, thí sinh suýt 's?p m?t'",1
51,Nh??ng 'c?m' cho xe,1
52,Vì sao chúng ta không th? ??i m?t UFO?,1
53,Bi?t ??i' s?n b?t chó th? rông ? TP Th? ??c,1
54,Ngôi tr??ng l?m phát... hoa h?u,1
55,Cây x?ng v?i kho d? tr? d?i dào,1
